id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 7',sux:isin[stalk]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 8',sux:šub[rush]N sux:še[barley]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 9',sux:mug[ergot]N sux:še[barley]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 10',sux:peš[fig]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 11',sux:peš[fig]N sux:babbar[white]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 12',sux:peš[fig]N sux:kukkug[dark]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 13',sux:peš[fig]N sux:zarin[low-quality]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 14',sux:peš[fig]N sux:šergu[string]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 15',sux:peš[fig]N sux:sissig[green]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 16',sux:peš[fig]N sux:su[red]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 17',sux:peš[fig]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 1',sux:nurma[pomegranate]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 2',sux:nurma[pomegranate]N sux:saŋ[head]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 3',sux:nurma[pomegranate]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 4',sux:nurma[pomegranate]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 5',sux:nurma[pomegranate]N sux:babbar[white]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 6',sux:nurma[pomegranate]N sux:us[follow]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 7',sux:nurma[pomegranate]N sux:eš[three]NU sux:us[follow]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 8',sux:nurma[pomegranate]N sux:sissig[green]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 9',sux:nurma[pomegranate]N sux:dar[split]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 10',sux:garan[bunch]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 11',sux:garan[bunch]N sux:peš[fig]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 12',sux:garan[bunch]N sux:ŋeštin[vine]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iv 13',sux:garan[bunch]N sux:nurma[pomegranate]N
